commit,author,date,url
fa7e9694e1ed5406036620d4bf0b72a2aa984578,MarcoFalke,Thu Sep 06 14:21:00 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fa7e9694e1ed5406036620d4bf0b72a2aa984578
dd031e383975ae42b4cddd9a5bf6080ef5b46afa,MarcoFalke,Thu Sep 06 13:49:40 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/dd031e383975ae42b4cddd9a5bf6080ef5b46afa
2f7ae35ce8cf5d681de8e41a2f7c0f623fa71fc5,Wladimir J. van der Laan,Thu Sep 06 08:54:55 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/2f7ae35ce8cf5d681de8e41a2f7c0f623fa71fc5
35d7d9471f9640f67820ec699b0e34a7ec5d7fb6,Wladimir J. van der Laan,Thu Sep 06 07:50:55 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/35d7d9471f9640f67820ec699b0e34a7ec5d7fb6
a6aca8dc2fc4f140605851a8cb3f36f8d5bb19da,Wladimir J. van der Laan,Thu Sep 06 05:52:06 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/a6aca8dc2fc4f140605851a8cb3f36f8d5bb19da
ed2332aeffb071a3404be9cff8f9fb8a81a9fbfb,MarcoFalke,Thu Sep 06 04:29:40 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/ed2332aeffb071a3404be9cff8f9fb8a81a9fbfb
adf27b531a7fcd7066ab6649e8073bd1895a823a,MarcoFalke,Wed Sep 05 17:12:39 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/adf27b531a7fcd7066ab6649e8073bd1895a823a
e351a16a2a837091d6bb51c0ac9b4c52a036f393,Michael Goldstein,Wed Sep 05 14:21:18 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e351a16a2a837091d6bb51c0ac9b4c52a036f393
a6f16f1b1ac76e473c134c5f2e5e085649635465,Michael Goldstein,Wed Sep 05 13:57:47 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/a6f16f1b1ac76e473c134c5f2e5e085649635465
95d731d9b38819cb822dbcd365972a14ae78d21f,MarcoFalke,Wed Sep 05 13:33:34 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/95d731d9b38819cb822dbcd365972a14ae78d21f
2b5d6f8df24b381d35b75187c97ae0cc9f7c3ed0,Pieter Wuille,Wed Sep 05 12:59:02 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/2b5d6f8df24b381d35b75187c97ae0cc9f7c3ed0
89709db7a2710456011eac9dcd6a60d5e87b97ae,Pieter Wuille,Tue Aug 28 16:11:11 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/89709db7a2710456011eac9dcd6a60d5e87b97ae
9254ffcf2d910ecb0f9ecbeef6d40a2008a44870,Pieter Wuille,Tue Aug 28 16:09:36 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/9254ffcf2d910ecb0f9ecbeef6d40a2008a44870
97ccd2b84e7d945bc6a6b38cfc1a63a37519a400,MarcoFalke,Wed Sep 05 08:21:26 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/97ccd2b84e7d945bc6a6b38cfc1a63a37519a400
e9a78e9b3b17e09f923f09c5aae0eda9dfd58e66,Wladimir J. van der Laan,Wed Aug 29 04:02:14 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e9a78e9b3b17e09f923f09c5aae0eda9dfd58e66
c39fa34bfd90b1de0016ad45c207213bd03ecd75,MarcoFalke,Tue Sep 04 14:59:50 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/c39fa34bfd90b1de0016ad45c207213bd03ecd75
fab52675144480c96c5564da4650205f1a41b08e,MarcoFalke,Tue Sep 04 12:43:19 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fab52675144480c96c5564da4650205f1a41b08e
5c24d3b98cb7bb0474e14eda8452356b4573879d,Wladimir J. van der Laan,Tue Sep 04 08:36:09 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/5c24d3b98cb7bb0474e14eda8452356b4573879d
bdfeb5dfa8d8c9dc178af05881d33c66d171391e,Wladimir J. van der Laan,Tue Sep 04 07:06:31 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/bdfeb5dfa8d8c9dc178af05881d33c66d171391e
f8a81f73ac4fee82488806c2b384b36e8ee2acdf,practicalswift,Mon Aug 13 08:19:33 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/f8a81f73ac4fee82488806c2b384b36e8ee2acdf
ada356208e153e088c729c102d5d79c9c9d66f1a,practicalswift,Tue Aug 14 02:27:30 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/ada356208e153e088c729c102d5d79c9c9d66f1a
0f34dac67b2b7c5312a3923e6ac6400dfe6790c8,Wladimir J. van der Laan,Tue Sep 04 05:45:48 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/0f34dac67b2b7c5312a3923e6ac6400dfe6790c8
564385f4bfa88a985b79ed48caf591c0da307db8,Wladimir J. van der Laan,Tue Sep 04 05:35:33 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/564385f4bfa88a985b79ed48caf591c0da307db8
fa616275b2c54787dad472f56782e7943d9f2bd6,Wladimir J. van der Laan,Tue Sep 04 05:31:00 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fa616275b2c54787dad472f56782e7943d9f2bd6
281feee7cc5c6e8cc77cd152da267b5b24da7041,Wladimir J. van der Laan,Tue Sep 04 05:29:13 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/281feee7cc5c6e8cc77cd152da267b5b24da7041
788b8a290c93bedb4f1f184736df501c8fffe1d6,Wladimir J. van der Laan,Tue Sep 04 05:27:46 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/788b8a290c93bedb4f1f184736df501c8fffe1d6
e1b776eb1b340400e97500d05aed81d31b7c72d5,Wladimir J. van der Laan,Tue Sep 04 05:21:16 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e1b776eb1b340400e97500d05aed81d31b7c72d5
8ecaee13f70a2062e88a977c950a65d3a2de560f,practicalswift,Tue Aug 28 14:42:07 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/8ecaee13f70a2062e88a977c950a65d3a2de560f
e4a79b4b3a7dc88e2ac9cb10a20a71aa22743398,Chun Kuan Lee,Sun Aug 26 03:50:38 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e4a79b4b3a7dc88e2ac9cb10a20a71aa22743398
fa462b365715928d2c6eb52ca6a448f367084f0f,practicalswift,Mon Sep 03 08:41:02 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fa462b365715928d2c6eb52ca6a448f367084f0f
68bfc0bce349954b2e0fb82aed2f47e213fff9e4,fanquake,Sun Sep 02 20:35:41 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/68bfc0bce349954b2e0fb82aed2f47e213fff9e4
ee3a494f37d6a459a5d935446ba08d69ea310b9b,João Barbosa,Sun Sep 02 13:05:34 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/ee3a494f37d6a459a5d935446ba08d69ea310b9b
5d62dcf9cfb5c0b2511c10667ed47ec3b3610d72,Chun Kuan Lee,Sat Sep 01 17:40:56 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/5d62dcf9cfb5c0b2511c10667ed47ec3b3610d72
68f3c7eb080e461cfeac37f8db7034fe507241d0,Wladimir J. van der Laan,Sun Sep 02 03:38:11 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/68f3c7eb080e461cfeac37f8db7034fe507241d0
c7f7fa467ec571d3b3fd7ae1d32429b74b18ad9c,Ben Woosley,Sun Sep 02 01:49:30 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/c7f7fa467ec571d3b3fd7ae1d32429b74b18ad9c
